Year,Team,G,P,Opposition,G,P,Diff
2018,Cork,0,21,Waterford,1,13,5
2018,Cork,1,21,Tipperary,1,24,-3
2018,Cork,1,15,Waterford,1,20,-5
2018,Cork,0,19,Clare,0,23,-4
2018,Cork,1,14,Wexford,0,21,-4
2018,Cork,1,24,Kilkenny,0,24,3
2017,Cork,1,18,Limerick,1,20,-2
2017,Cork,0,26,Tipperary,3,16,1
2017,Cork,1,21,Waterford,1,13,8
2017,Cork,0,15,Kilkenny,0,22,-7
2017,Cork,1,14,Dublin,2,19,-8
2017,Cork,0,21,Clare,1,11,7
2016,Cork,2,22,Galway,0,25,3
2016,Cork,2,15,Tipperary,2,27,-12
2016,Cork,2,22,Kilkenny,2,23,-1
2016,Cork,2,17,Dublin,4,21,-10
2016,Cork,1,14,Waterford,0,20,-3
2016,Cork,1,21,Galway,1,27,-6
2015,Cork,0,17,Waterford,1,24,-10
2015,Cork,1,27,Dublin,2,23,1
2015,Cork,0,18,Wexford,0,14,4
2015,Cork,4,21,Tipperary,2,28,-1
2015,Cork,2,17,Galway,0,20,3
2015,Cork,0,34,Dublin,1,20,11
2015,Cork,1,24,Clare,0,17,10
2015,Cork,2,17,Kilkenny,1,22,-2
2014,Cork,4,19,Tipperary,3,25,-3
2014,Cork,2,24,Wexford,1,20,7
2014,Cork,0,18,Antrim,1,12,3
2014,Cork,1,24,Offaly,1,18,6
2014,Cork,0,14,Laois,0,7,7
2014,Cork,0,17,Limerick,0,17,0
2013,Cork,2,23,Clare,0,31,-2
2013,Cork,2,12,Kilkenny,0,20,-2
2013,Cork,2,12,Galway,2,12,0
2013,Cork,1,16,Clare,1,22,-6
2013,Cork,1,12,Waterford,0,15,0
2013,Cork,0,26,Tipperary,1,11,12
2012,Cork,0,16,Kilkenny,3,21,-14
2012,Cork,1,25,Tipperary,2,15,7
2012,Cork,1,23,Tipperary,1,23,0
2012,Cork,1,17,Kilkenny,1,15,2
2012,Cork,2,13,Galway,2,17,-4
2012,Cork,2,18,Dublin,2,17,1
2012,Cork,3,17,Waterford,0,18,8
2011,Cork,1,14,Dublin,1,15,-1
2011,Cork,1,15,Wexford,1,16,-1
2011,Cork,1,14,Tipperary,1,14,0
2011,Cork,0,17,Waterford,0,18,-1
2011,Cork,1,20,Galway,1,17,3
2011,Cork,1,10,Kilkenny,0,14,-1
2011,Cork,1,20,Offaly,1,15,5
2010,Cork,1,17,Galway,2,22,-8
2010,Cork,2,13,Galway,3,17,-7
2010,Cork,1,16,Tipperary,1,15,1
2010,Cork,0,17,Dublin,1,11,3
2010,Cork,3,17,Waterford,2,20,0
2010,Cork,0,18,Kilkenny,1,13,2
2010,Cork,2,21,Limerick,1,14,10
2010,Cork,1,22,Offaly,1,11,11
2009,Cork,3,15,Waterford,2,22,-4
2009,Cork,0,11,Kilkenny,4,26,-27
2009,Cork,1,20,Limerick,2,16,1
2009,Cork,2,14,Clare,0,16,4
2009,Cork,1,11,Galway,4,16,-14
2009,Cork,0,9,Tipperary,2,15,-12
2009,Cork,1,14,Dublin,4,14,-9
2008,Cork,0,24,Galway,2,22,-4
2008,Cork,0,11,Limerick,0,7,4
2008,Cork,2,17,Waterford,1,19,1
2008,Cork,0,22,Wexford,1,17,2
2008,Cork,1,24,Antrim,1,7,17
2008,Cork,3,18,Dublin,2,16,5
2007,Cork,1,16,Waterford,1,19,-3
2007,Cork,1,13,Clare,0,14,2
2007,Cork,1,17,Wexford,0,18,2
2007,Cork,1,10,Down,2,5,2
2007,Cork,0,12,Waterford,0,16,-4
2007,Cork,1,21,Offaly,1,14,7
2006,Cork,0,16,Clare,0,18,-2
2006,Cork,0,19,Wexford,0,7,12
2006,Cork,3,25,Down,0,9,25
2006,Cork,2,15,Waterford,0,25,-4
2006,Cork,2,18,Offaly,1,21,0
2005,Cork,1,21,Galway,1,24,-3
2005,Cork,3,9,Clare,2,15,-3
2005,Cork,1,11,Kilkenny,1,14,-3
2005,Cork,0,16,Tipperary,1,12,1
2005,Cork,1,19,Down,0,11,11
2005,Cork,1,19,Antrim,1,9,10
2005,Cork,1,13,Wexford,0,15,1
2005,Cork,1,20,Limerick,0,10,13
2004,Cork,0,18,Clare,2,20,-8
2004,Cork,0,13,Waterford,0,14,-1
2004,Cork,1,15,Galway,3,13,-4
2004,Cork,2,17,Tipperary,1,20,0
2004,Cork,3,11,Offaly,1,15,2
2004,Cork,0,14,Antrim,2,5,3
2004,Cork,2,13,Wexford,0,9,10
2004,Cork,0,14,Limerick,1,9,2
2003,Cork,1,18,Galway,1,14,4
2003,Cork,3,12,Kilkenny,4,17,-8
2003,Cork,2,12,Clare,2,9,3
2003,Cork,4,15,Tipperary,4,11,4
2003,Cork,1,17,Offaly,2,17,-3
2003,Cork,6,19,Derry,1,5,29
2003,Cork,2,14,Wexford,1,10,7
2003,Cork,0,15,Limerick,0,14,1
2002,Cork,2,14,Kilkenny,2,15,-1
2002,Cork,0,21,Tipperary,1,10,8
2002,Cork,1,14,Tipperary,1,17,-3
2002,Cork,4,17,Offaly,1,10,16
2002,Cork,1,24,Derry,1,12,12
2002,Cork,0,24,Wexford,2,12,6
2002,Cork,0,11,Limerick,0,9,2
2001,Cork,3,26,Derry,0,4,31
2001,Cork,2,8,Tipperary,0,20,-6
2001,Cork,1,17,Waterford,1,15,2
2001,Cork,1,9,Wexford,2,14,-8
2001,Cork,1,10,Kilkenny,0,12,1
2001,Cork,4,18,Laois,0,7,23
2000,Cork,4,16,Wexford,2,14,8
2000,Cork,4,18,Derry,0,12,18
2000,Cork,1,12,Tipperary,2,11,-2
2000,Cork,2,14,Waterford,2,17,-3
2000,Cork,4,21,Laois,0,11,22
2000,Cork,0,12,Kilkenny,1,13,-4
1999,Cork,1,18,Wexford,1,14,4
1999,Cork,5,19,Down,0,7,27
1999,Cork,1,11,Tipperary,1,12,-1
1999,Cork,3,9,Waterford,1,12,3
1999,Cork,0,12,Laois,1,13,-4
1999,Cork,0,14,Kilkenny,1,9,2
1998,Cork,2,14,Waterford,0,13,7
1998,Cork,2,15,Clare,0,10,11
1998,Cork,1,13,Laois,1,8,5
1998,Cork,2,11,Tipperary,2,10,1
1998,Cork,1,11,Wexford,1,11,0
1998,Cork,1,12,Waterford,1,5,7
1998,Cork,0,16,Kilkenny,1,8,5
1997,Cork,1,10,Kilkenny,3,12,-8
1997,Cork,2,22,Kerry,1,6,19
1997,Cork,5,24,London,0,6,33
1997,Cork,2,11,Meath,1,7,7
1997,Cork,1,6,Dublin,1,10,-4
1997,Cork,2,15,Waterford,0,11,10
1997,Cork,4,21,Antrim,2,11,16
1997,Cork,6,21,Westmeath,2,4,29
1996,Cork,0,5,Clare,1,11,-9
1996,Cork,3,8,Kilkenny,1,16,-2
1996,Cork,1,8,Tipperary,1,15,-7
1996,Cork,2,11,Offaly,0,10,7
1996,Cork,2,16,Kerry,1,13,6
1996,Cork,1,15,Waterford,0,8,10
1996,Cork,0,10,Galway,0,16,-6
1995,Cork,2,11,Offaly,3,10,-2
1995,Cork,1,8,Clare,0,10,1
1995,Cork,2,14,Laois,0,9,11
1995,Cork,1,12,Tipperary,1,7,5
1995,Cork,3,3,Kilkenny,2,10,-4
1995,Cork,2,8,Galway,0,15,-1
1995,Cork,2,12,Antrim,3,9,0
1995,Cork,0,18,Limerick,1,8,7
1994,Cork,1,13,Tipperary,2,13,-3
1994,Cork,3,15,Down,0,10,14
1994,Cork,2,12,Wexford,1,5,10
1994,Cork,0,17,Tipperary,0,15,2
1994,Cork,1,8,Waterford,0,5,6
1994,Cork,0,13,Galway,0,15,-2
1994,Cork,2,21,Antrim,3,11,7
1994,Cork,0,13,Limerick,1,13,-3
1993,Cork,3,12,Wexford,1,12,6
1993,Cork,0,18,Wexford,3,9,0
1993,Cork,2,11,Wexford,2,11,0
1993,Cork,2,11,Tipperary,1,13,1
1993,Cork,1,24,Down,1,9,15
1993,Cork,5,16,Waterford,1,6,22
1993,Cork,1,17,Clare,0,10,10
1993,Cork,1,9,Galway,0,12,0
1993,Cork,1,10,Wexford,3,13,-9
1993,Cork,2,9,Waterford,1,12,0
1993,Cork,4,12,Clare,2,9,9
1993,Cork,1,8,Dublin,2,16,-11
1992,Cork,1,4,Limerick,2,11,-10
1992,Cork,3,12,Waterford,2,10,5
1992,Cork,0,12,Galway,0,8,4
1992,Cork,3,13,Wexford,1,10,9
1992,Cork,3,16,Waterford,2,9,10
1992,Cork,1,8,Clare,1,12,-4
1992,Cork,0,14,Dublin,2,12,-4
1991,Cork,2,11,Limerick,1,12,2
1991,Cork,1,10,Clare,0,13,0
1991,Cork,0,17,Dublin,2,10,1
1991,Cork,0,13,Tipperary,3,13,-9
1991,Cork,4,8,Kilkenny,0,10,10
1991,Cork,3,9,Wexford,3,15,-6
1991,Cork,2,5,Waterford,1,15,-7
1990,Cork,0,6,Wexford,1,9,-6
1990,Cork,2,12,Wexford,2,12,0
1990,Cork,4,9,Limerick,1,16,2
1990,Cork,1,10,Kilkenny,0,13,0
1990,Cork,6,16,Antrim,2,10,18
1990,Cork,2,8,Dublin,2,10,-2
1990,Cork,2,13,Wexford,0,15,4
1990,Cork,5,8,Tipperary,0,15,8
1990,Cork,1,12,Galway,0,13,2
1989,Cork,1,7,Kilkenny,1,15,-8
1989,Cork,1,3,Dublin,3,7,-10
1989,Cork,3,9,Meath,0,4,14
1989,Cork,2,12,Kerry,1,8,7
1989,Cork,6,15,Westmeath,1,5,25
1989,Cork,4,9,Clare,2,7,8
1989,Cork,1,13,Laois,1,8,5
1989,Cork,1,11,Derry,1,9,2
1988,Cork,3,15,Clare,4,13,-1
1988,Cork,2,6,Kilkenny,4,7,-7
1988,Cork,1,12,Galway,2,9,0
1988,Cork,2,6,Wexford,1,10,-1
1988,Cork,0,8,Tipperary,2,10,-8
1988,Cork,2,2,Limerick,1,10,-5
1988,Cork,0,10,Waterford,3,10,-9
1987,Cork,2,9,Waterford,1,13,-1
1987,Cork,1,7,Clare,1,12,-5
1987,Cork,4,10,Kilkenny,2,7,9
1987,Cork,2,12,Wexford,2,7,5
1987,Cork,4,9,Westmeath,1,8,10
1987,Cork,2,12,Limerick,1,12,3
1987,Cork,4,9,Offaly,1,12,6
1987,Cork,5,8,Galway,2,21,-4
1986,Cork,1,8,Kilkenny,2,15,-10
1986,Cork,3,7,Kilkenny,3,10,-3
1986,Cork,3,4,Dublin,2,6,1
1986,Cork,3,10,Laois,2,10,3
1986,Cork,4,11,Limerick,1,7,13
