Year,Team,G,P,Opposition,G,P,Diff
2018,Dublin,0,20,Tipperary,2,25,-11
2018,Dublin,3,23,Laois,0,17,15
2018,Dublin,1,14,Galway,1,20,-6
2018,Dublin,0,17,Limerick,1,26,-12
2018,Dublin,0,23,Antrim,0,22,1
2018,Dublin,1,15,Offaly,2,25,-13
2017,Dublin,0,19,Clare,3,18,-8
2017,Dublin,1,16,Kilkenny,2,20,-7
2017,Dublin,1,15,Clare,0,20,-2
2017,Dublin,1,17,Waterford,2,19,-5
2017,Dublin,2,19,Cork,1,14,8
2017,Dublin,1,8,Tipperary,1,24,-16
2016,Dublin,1,19,Limerick,1,21,-2
2016,Dublin,1,14,Kilkenny,0,23,-6
2016,Dublin,0,19,Waterford,0,14,5
2016,Dublin,4,21,Cork,2,17,10
2016,Dublin,1,17,Galway,0,13,7
2016,Dublin,0,12,Tipperary,1,23,-14
2015,Dublin,2,23,Cork,1,27,-1
2015,Dublin,1,25,Limerick,0,16,12
2015,Dublin,2,14,Galway,0,26,-6
2015,Dublin,2,20,Clare,2,22,-2
2015,Dublin,1,20,Cork,0,34,-11
2015,Dublin,0,25,Kilkenny,3,11,5
2015,Dublin,2,20,Tipperary,0,14,12
2014,Dublin,4,13,Waterford,1,17,5
2014,Dublin,0,19,Tipperary,1,19,-3
2014,Dublin,1,22,Kilkenny,3,13,3
2014,Dublin,1,10,Waterford,1,13,-3
2014,Dublin,2,17,Clare,0,17,6
2014,Dublin,1,12,Galway,0,28,-13
2013,Dublin,0,17,Tipperary,4,20,-15
2013,Dublin,1,16,Limerick,1,15,1
2013,Dublin,3,15,Carlow,0,11,13
2013,Dublin,3,19,Wexford,0,15,13
2013,Dublin,1,15,Limerick,1,21,-6
2013,Dublin,3,12,Antrim,1,10,8
2013,Dublin,1,20,Offaly,2,16,1
2012,Dublin,0,19,Galway,4,21,-14
2012,Dublin,2,20,Galway,0,26,0
2012,Dublin,0,13,Waterford,0,17,-4
2012,Dublin,2,15,Tipperary,0,21,0
2012,Dublin,6,12,Kilkenny,5,16,-1
2012,Dublin,2,17,Cork,2,18,-1
2012,Dublin,0,13,Galway,0,20,-7
2011,Dublin,0,22,Kilkenny,1,7,12
2011,Dublin,1,15,Cork,1,14,1
2011,Dublin,1,17,Kilkenny,3,11,0
2011,Dublin,0,14,Galway,2,11,-3
2011,Dublin,3,21,Wexford,2,15,9
2011,Dublin,2,23,Offaly,1,13,13
2011,Dublin,1,16,Tipperary,1,15,1
2011,Dublin,2,19,Waterford,3,16,0
2010,Dublin,6,30,Limerick,2,11,31
2010,Dublin,0,17,Galway,0,15,2
2010,Dublin,1,11,Cork,0,17,-3
2010,Dublin,0,23,Kilkenny,2,21,-4
2010,Dublin,1,18,Offaly,3,19,-7
2010,Dublin,1,21,Tipperary,1,12,9
2010,Dublin,0,12,Waterford,4,13,-13
2009,Dublin,3,15,Kilkenny,1,23,-2
2009,Dublin,0,15,Clare,0,15,0
2009,Dublin,4,11,Tipperary,2,19,-2
2009,Dublin,0,15,Waterford,1,11,1
2009,Dublin,0,12,Limerick,1,11,-2
2009,Dublin,2,21,Galway,0,15,12
2009,Dublin,4,14,Cork,1,14,9
2008,Dublin,1,17,Waterford,3,18,-7
2008,Dublin,0,15,Wexford,2,9,0
2008,Dublin,2,16,Cork,3,18,-5
2008,Dublin,2,10,Kilkenny,1,21,-8
2008,Dublin,0,22,Antrim,0,15,7
2007,Dublin,1,9,Tipperary,4,15,-15
2007,Dublin,0,12,Antrim,1,13,-4
2007,Dublin,0,22,Limerick,1,15,4
2007,Dublin,2,7,Galway,1,8,2
2007,Dublin,2,13,Kilkenny,0,19,0
2006,Dublin,0,17,Kerry,1,6,8
2006,Dublin,1,15,Westmeath,0,11,7
2006,Dublin,3,14,Carlow,2,16,1
2006,Dublin,1,10,Meath,0,9,4
2006,Dublin,4,19,Roscommon,1,5,23
2006,Dublin,5,23,Wicklow,1,7,28
2006,Dublin,1,15,Derry,0,13,5
2005,Dublin,1,11,Antrim,3,9,-4
2005,Dublin,3,8,Limerick,3,14,-6
2005,Dublin,4,9,Down,4,15,-6
2005,Dublin,0,11,Kilkenny,2,27,-22
2005,Dublin,1,10,Laois,2,13,-6
2005,Dublin,0,13,Waterford,2,24,-17
2005,Dublin,0,14,Clare,2,19,-11
2005,Dublin,0,12,Galway,3,19,-16
2004,Dublin,1,12,Wexford,2,16,-7
2004,Dublin,4,21,Offaly,2,6,21
2004,Dublin,1,10,Antrim,1,10,0
2004,Dublin,0,9,Kilkenny,1,15,-9
2004,Dublin,1,6,Laois,3,14,-14
2004,Dublin,2,12,Waterford,6,17,-17
2004,Dublin,2,13,Clare,3,13,-3
2004,Dublin,2,6,Galway,1,14,-5
2003,Dublin,0,10,Limerick,5,26,-31
2003,Dublin,3,8,Offaly,1,13,1
2003,Dublin,6,19,Derry,3,11,17
2003,Dublin,2,8,Kilkenny,2,22,-14
2003,Dublin,1,8,Laois,3,14,-12
2003,Dublin,2,13,Waterford,2,11,2
2003,Dublin,3,10,Clare,3,17,-7
2003,Dublin,1,7,Galway,1,14,-7
2002,Dublin,2,16,Derry,5,6,1
2002,Dublin,0,8,Kilkenny,3,18,-19
2002,Dublin,2,9,Galway,2,20,-11
2002,Dublin,1,15,Meath,0,9,9
2002,Dublin,1,19,Waterford,1,14,5
2002,Dublin,2,7,Clare,0,18,-5
2001,Dublin,5,12,Antrim,0,15,12
2001,Dublin,0,8,Offaly,2,22,-20
2001,Dublin,2,17,Limerick,1,24,-4
2001,Dublin,3,14,Antrim,2,15,2
2001,Dublin,2,13,Clare,4,20,-13
2001,Dublin,2,4,Galway,2,14,-10
2001,Dublin,0,11,Meath,1,12,-4
2000,Dublin,0,16,Offaly,1,19,-6
2000,Dublin,1,10,Clare,3,14,-10
2000,Dublin,2,4,Limerick,0,21,-11
2000,Dublin,3,13,Antrim,3,11,2
2000,Dublin,1,17,Galway,2,18,-4
2000,Dublin,3,24,Kerry,3,7,17
1999,Dublin,4,12,Kerry,0,11,13
1999,Dublin,1,13,Clare,1,13,0
1999,Dublin,0,9,Offaly,1,11,-5
1999,Dublin,2,12,Limerick,0,11,7
1999,Dublin,1,13,Antrim,2,15,-5
1999,Dublin,0,12,Galway,4,11,-11
1998,Dublin,4,10,Offaly,1,13,6
1998,Dublin,1,6,Limerick,0,11,-2
1998,Dublin,2,8,Clare,1,18,-7
1998,Dublin,1,8,Antrim,2,11,-6
1998,Dublin,1,13,Galway,1,9,4
1997,Dublin,0,8,Tipperary,0,14,-6
1997,Dublin,0,23,Westmeath,1,6,14
1997,Dublin,3,11,Antrim,1,13,4
1997,Dublin,3,7,Waterford,1,11,2
1997,Dublin,1,10,Cork,1,6,4
1997,Dublin,2,18,London,2,5,13
1997,Dublin,1,10,Meath,0,2,11
1997,Dublin,1,10,Kerry,0,11,2
1996,Dublin,1,8,Westmeath,3,3,-1
1996,Dublin,4,3,Laois,3,20,-14
1996,Dublin,1,6,Antrim,0,13,-4
1996,Dublin,2,9,Down,1,12,0
1996,Dublin,0,7,Wexford,0,11,-4
1996,Dublin,1,14,Meath,0,12,5
1996,Dublin,1,17,Limerick,2,13,1
1995,Dublin,0,12,Meath,2,6,0
1995,Dublin,1,8,Offaly,0,14,-3
1995,Dublin,2,6,Wexford,0,11,1
1995,Dublin,0,10,Down,1,8,-1
1995,Dublin,1,9,Waterford,1,14,-5
1995,Dublin,1,8,Kerry,1,10,-2
1995,Dublin,2,11,Carlow,1,8,6
1994,Dublin,1,17,Meath,1,10,7
1994,Dublin,0,17,Offaly,1,12,2
1994,Dublin,1,11,Laois,5,10,-11
1994,Dublin,2,11,Clare,1,12,2
1994,Dublin,1,6,Kilkenny,2,12,-9
1994,Dublin,1,5,Kerry,0,10,-2
1994,Dublin,0,13,Westmeath,0,6,7
1993,Dublin,2,17,Waterford,1,24,-4
1993,Dublin,0,7,Wexford,0,14,-7
1993,Dublin,0,17,Waterford,3,7,1
1993,Dublin,1,10,Clare,2,14,-7
1993,Dublin,1,8,Galway,2,11,-6
1993,Dublin,2,16,Cork,1,8,11
1992,Dublin,2,7,Laois,1,9,1
1992,Dublin,0,13,Wexford,1,12,-2
1992,Dublin,2,4,Waterford,2,16,-12
1992,Dublin,0,11,Clare,2,8,-3
1992,Dublin,1,15,Galway,2,15,-3
1992,Dublin,2,12,Cork,0,14,4
1991,Dublin,2,9,Limerick,0,16,-1
1991,Dublin,1,14,Clare,3,11,-3
1991,Dublin,2,10,Cork,0,17,-1
1991,Dublin,1,9,Waterford,1,15,-6
1991,Dublin,1,14,Wexford,0,19,-2
1991,Dublin,2,6,Tipperary,2,22,-16
1991,Dublin,1,11,Kilkenny,4,11,-9
1990,Dublin,1,9,Kilkenny,2,16,-10
1990,Dublin,1,15,Waterford,2,7,5
1990,Dublin,3,10,Antrim,0,9,10
1990,Dublin,1,10,Wexford,2,10,-3
1990,Dublin,0,4,Limerick,0,13,-9
1990,Dublin,2,10,Cork,2,8,2
1990,Dublin,1,9,Kilkenny,0,11,1
1990,Dublin,2,16,Galway,1,15,4
1990,Dublin,1,10,Tipperary,1,9,1
1989,Dublin,2,10,Down,0,13,3
1989,Dublin,1,9,Galway,2,13,-7
1989,Dublin,1,17,Limerick,0,12,8
1989,Dublin,3,7,Cork,1,3,10
1989,Dublin,2,13,Clare,2,11,2
1989,Dublin,0,10,Laois,3,2,-1
1989,Dublin,5,18,Derry,1,4,26
1989,Dublin,4,7,Meath,1,7,9
1989,Dublin,3,10,Kerry,1,3,13
1989,Dublin,2,17,Westmeath,1,5,15
1988,Dublin,2,8,Antrim,2,12,-4
1988,Dublin,0,12,Kerry,2,9,-3
1988,Dublin,2,14,Westmeath,0,4,16
1988,Dublin,1,16,Laois,1,12,4
1988,Dublin,0,6,Offaly,2,8,-8
1988,Dublin,0,18,Down,1,8,7
1988,Dublin,3,14,Roscommon,1,7,13
1987,Dublin,1,13,Antrim,1,14,-1
1987,Dublin,2,18,Kerry,1,12,9
1987,Dublin,1,4,Tipperary,1,12,-8
1987,Dublin,2,6,Laois,0,12,0
1987,Dublin,1,14,Waterford,3,8,0
1987,Dublin,2,15,Meath,1,11,7
1987,Dublin,6,19,Mayo,0,9,28
1986,Dublin,0,10,Limerick,4,7,-9
1986,Dublin,1,14,Offaly,2,8,3
1986,Dublin,2,6,Cork,3,4,-1
1986,Dublin,1,10,Kilkenny,0,13,0
1986,Dublin,4,17,Laois,3,7,13
1986,Dublin,0,5,Clare,1,16,-14
1986,Dublin,1,9,Galway,0,16,-4
1985,Dublin,2,9,Limerick,4,12,-9
1985,Dublin,2,8,Westmeath,2,5,3
1985,Dublin,2,14,Kildare,0,10,10
1985,Dublin,0,5,Roscommon,1,6,-4
1985,Dublin,2,15,Antrim,4,8,1
1985,Dublin,2,7,Kerry,0,13,0
1985,Dublin,1,11,Clare,2,12,-4
1985,Dublin,3,15,Waterford,3,8,7
1984,Dublin,2,8,Westmeath,2,13,-5
1984,Dublin,5,15,Kildare,3,9,12
1984,Dublin,2,14,Wicklow,1,5,12
1984,Dublin,2,13,Antrim,3,6,4
1984,Dublin,0,9,Kerry,1,8,-2
1984,Dublin,0,12,Tipperary,2,11,-5
1984,Dublin,1,14,Offaly,3,13,-5
1983,Dublin,0,9,Westmeath,0,7,2
1983,Dublin,0,12,Carlow,1,4,5
1983,Dublin,1,17,Wicklow,0,3,17
1983,Dublin,3,9,Antrim,2,5,7
1983,Dublin,1,6,Kerry,2,10,-7
1983,Dublin,1,6,Laois,2,16,-13
1983,Dublin,0,5,Limerick,1,17,-15
1982,Dublin,3,3,Limerick,3,6,-3
1982,Dublin,3,9,Carlow,0,6,12
1982,Dublin,1,7,Kilkenny,0,16,-6
1982,Dublin,1,10,Wexford,2,12,-5
1982,Dublin,2,11,Kerry,1,8,6
1982,Dublin,1,19,Antrim,2,12,4
1982,Dublin,3,8,Westmeath,2,5,6
1981,Dublin,0,7,Laois,2,11,-10
1981,Dublin,1,9,Antrim,0,6,6
1981,Dublin,1,5,Westmeath,0,8,0
1981,Dublin,2,7,Clare,0,19,-6
1981,Dublin,1,8,Kilkenny,2,11,-6
1981,Dublin,4,13,Kerry,1,7,15
1980,Dublin,1,13,Laois,0,11,5
1980,Dublin,2,11,Wexford,4,11,-6
1980,Dublin,0,20,Kerry,0,5,15
1980,Dublin,0,7,Waterford,2,11,-10
1980,Dublin,1,11,Antrim,1,7,4
1979,Dublin,5,6,Laois,3,8,4
1979,Dublin,1,8,Tipperary,2,14,-9
1979,Dublin,5,9,Carlow,0,4,20
1979,Dublin,2,11,Kildare,0,9,8
1979,Dublin,2,11,Cork,4,11,-6
1979,Dublin,4,5,Antrim,3,9,-1
1978,Dublin,2,7,Limerick,4,7,-6
1978,Dublin,1,7,Antrim,3,9,-8
1978,Dublin,3,7,Waterford,3,13,-6
1978,Dublin,4,10,Kildare,2,6,10
1978,Dublin,0,12,Laois,2,8,-2
1978,Dublin,2,7,Westmeath,1,9,1
1977,Dublin,1,7,Tipperary,3,14,-13
1977,Dublin,1,7,Cork,0,11,-1
1977,Dublin,1,7,Wexford,2,17,-13
1977,Dublin,3,6,Limerick,2,10,-1
1977,Dublin,1,3,Clare,4,8,-14
1977,Dublin,1,9,Kilkenny,1,13,-4
1976,Dublin,1,6,Tipperary,1,12,-6
1976,Dublin,2,8,Galway,2,8,0
1976,Dublin,2,9,Kilkenny,1,12,0
1976,Dublin,5,7,Wexford,2,7,9
1976,Dublin,2,6,Cork,4,14,-14
1976,Dublin,2,9,Clare,1,12,0
1975,Dublin,0,9,Kilkenny,1,13,-7
1975,Dublin,1,15,Cork,2,5,7
1975,Dublin,4,6,Wexford,1,15,0
1975,Dublin,1,11,Tipperary,1,11,0
1975,Dublin,2,5,Limerick,2,8,-3
1975,Dublin,0,10,Waterford,2,13,-9
1975,Dublin,1,4,Clare,2,9,-8
1974,Dublin,1,11,Cork,0,18,-4
1974,Dublin,2,10,Waterford,2,5,5
1974,Dublin,1,11,Laois,2,6,2
1974,Dublin,3,12,Offaly,4,7,2
1974,Dublin,5,19,Wicklow,2,6,22
1974,Dublin,3,13,Westmeath,1,5,14
1974,Dublin,3,15,Antrim,1,8,13
1974,Dublin,2,18,Kerry,2,7,11
1974,Dublin,2,11,Kildare,0,10,7
1973,Dublin,2,12,Laois,3,7,2
1973,Dublin,1,11,Waterford,2,8,0
1973,Dublin,5,13,Kerry,3,4,15
1973,Dublin,4,8,Wicklow,4,5,3
1973,Dublin,2,8,Westmeath,2,4,4
1973,Dublin,2,7,Antrim,2,8,-1
1973,Dublin,2,11,Kildare,5,15,-13
1972,Dublin,5,6,Wexford,4,13,-4
1972,Dublin,0,10,Kilkenny,5,10,-15
1972,Dublin,4,7,Cork,3,8,2
1972,Dublin,2,13,Clare,4,10,-3
1972,Dublin,1,8,Tipperary,3,9,-7
1972,Dublin,2,5,Limerick,5,8,-12
1972,Dublin,1,9,Offaly,2,11,-5
1971,Dublin,2,5,Wexford,5,9,-13
1971,Dublin,1,5,Kilkenny,1,15,-10
1971,Dublin,3,13,Galway,3,5,8
1971,Dublin,3,12,Cork,3,6,6
1971,Dublin,0,3,Limerick,2,5,-8
1971,Dublin,1,5,Tipperary,2,10,-8
1971,Dublin,2,5,Offaly,1,9,-1
1970,Dublin,0,3,Clare,4,11,-20
1970,Dublin,4,9,Cork,3,17,-5
1970,Dublin,4,7,Limerick,3,13,-3
1970,Dublin,3,7,Galway,4,15,-11
1969,Dublin,2,8,Clare,1,11,0
1969,Dublin,4,7,Limerick,4,12,-5
1969,Dublin,3,6,Galway,2,4,5
1969,Dublin,3,10,Cork,5,9,-5
1968,Dublin,2,4,Clare,4,8,-10
1968,Dublin,2,9,Limerick,1,11,1
1968,Dublin,1,9,Cork,1,13,-4
1968,Dublin,0,8,Galway,0,12,-4
1967,Dublin,0,17,Clare,3,9,-1
1967,Dublin,2,3,Clare,3,8,-8
1967,Dublin,3,15,Cork,2,10,8
1967,Dublin,1,5,Limerick,3,11,-12
1967,Dublin,4,7,Galway,2,7,6
1966,Dublin,1,10,Clare,2,8,-1
1966,Dublin,1,3,Cork,4,6,-12
1966,Dublin,4,14,Galway,3,7,10
1966,Dublin,1,9,Limerick,2,7,-1
1965,Dublin,3,10,Wexford,5,5,-1
1965,Dublin,3,8,Waterford,2,13,-2
1965,Dublin,3,15,Carlow,3,7,8
1965,Dublin,1,6,Limerick,6,10,-19
1964,Dublin,1,5,Wexford,2,10,-8
1964,Dublin,3,10,Waterford,1,11,5
1964,Dublin,2,10,Carlow,1,10,3
1964,Dublin,2,10,Limerick,5,6,-5
1963,Dublin,2,4,Galway,1,10,-3
1963,Dublin,8,13,Antrim,5,1,21
1963,Dublin,8,8,Westmeath,2,7,19
1962,Dublin,1,4,Cork,6,12,-23
1962,Dublin,0,11,Galway,1,7,1
1962,Dublin,1,9,Galway,2,6,0
1962,Dublin,2,15,Antrim,1,3,15
1962,Dublin,5,10,Westmeath,4,5,8
1961,Dublin,2,7,Cork,5,8,-10
1961,Dublin,2,6,Kilkenny,1,5,4
1961,Dublin,0,6,Waterford,7,8,-23
1961,Dublin,1,5,Wexford,1,14,-9
1961,Dublin,4,10,Antrim,1,2,17
1960,Dublin,3,6,Cork,7,6,-12
1960,Dublin,3,9,Kilkenny,3,4,5
1960,Dublin,3,10,Waterford,1,9,7
1960,Dublin,4,4,Wexford,5,6,-5
1960,Dublin,9,7,Antrim,4,2,20
1959,Dublin,3,6,Wexford,3,11,-5
1959,Dublin,6,5,Cork,5,8,0
1959,Dublin,5,7,Antrim,2,3,13
1959,Dublin,3,6,Kilkenny,3,6,0
1959,Dublin,1,8,Waterford,1,12,-4
1958,Dublin,2,1,Wexford,3,10,-12
1958,Dublin,3,9,Cork,1,5,10
1958,Dublin,3,3,Kilkenny,4,8,-8
1958,Dublin,6,3,Waterford,4,7,2
1958,Dublin,8,2,Antrim,2,5,15
1957,Dublin,3,5,Cork,9,5,-18
1957,Dublin,0,5,Kilkenny,2,5,-6
1957,Dublin,3,6,Wexford,6,6,-9
1957,Dublin,1,8,Waterford,2,8,-3
1956,Dublin,3,4,Cork,4,6,-5
1956,Dublin,5,6,Kilkenny,4,4,5
1956,Dublin,4,6,Waterford,0,4,14
1956,Dublin,4,5,Wexford,5,8,-6
1955,Dublin,4,5,Waterford,1,3,11
1955,Dublin,3,9,Cork,4,4,2
1955,Dublin,6,10,Meath,0,1,27
1955,Dublin,2,3,Wexford,5,8,-14
1955,Dublin,5,3,Kilkenny,4,3,3
1954,Dublin,1,4,Waterford,2,12,-11
1954,Dublin,6,8,Cork,5,6,5
1954,Dublin,8,5,Wexford,2,8,15
1954,Dublin,3,4,Kilkenny,4,6,-5
1953,Dublin,2,5,Wexford,6,2,-9
1953,Dublin,3,6,Cork,3,11,-5
1953,Dublin,2,4,Kilkenny,1,2,5
1953,Dublin,2,9,Waterford,0,7,8
1953,Dublin,5,6,Laois,2,2,13
1953,Dublin,8,7,Antrim,3,6,16
