Year,Team,G,P,Opposition,G,P,Diff
2018,Kerry,0,16,Westmeath,1,20,-7
2018,Kerry,3,19,Meath,1,9,16
2018,Kerry,1,23,Kildare,0,10,16
2018,Kerry,1,11,Carlow,1,18,-7
2018,Kerry,2,30,London,1,13,20
2017,Kerry,4,20,Laois,1,30,-1
2017,Kerry,2,16,Offaly,1,21,-2
2017,Kerry,0,12,Galway,1,22,-13
2017,Kerry,0,12,Wexford,3,18,-15
2017,Kerry,3,8,Limerick,6,21,-22
2017,Kerry,3,14,Laois,0,19,4
2016,Kerry,2,27,Laois,1,19,11
2016,Kerry,2,18,Offaly,2,17,1
2016,Kerry,1,9,Clare,2,18,-12
2016,Kerry,0,8,Wexford,2,25,-23
2016,Kerry,1,15,Limerick,1,19,-4
2016,Kerry,1,24,Laois,2,14,7
2015,Kerry,2,16,Antrim,1,18,1
2015,Kerry,5,17,Westmeath,3,17,6
2015,Kerry,3,17,London,2,10,10
2015,Kerry,1,24,Carlow,3,17,1
2015,Kerry,0,12,Westmeath,3,18,-15
2015,Kerry,2,20,Wicklow,1,6,17
2015,Kerry,0,14,Derry,0,14,0
2014,Kerry,0,14,Offaly,3,19,-14
2014,Kerry,3,16,Carlow,3,13,3
2014,Kerry,2,17,London,1,18,2
2014,Kerry,3,14,Carlow,0,17,6
2014,Kerry,3,13,Westmeath,2,15,1
2014,Kerry,2,24,Kildare,0,13,17
2014,Kerry,4,24,Derry,3,9,18
2013,Kerry,1,13,Derry,1,12,1
2013,Kerry,2,16,Kildare,1,16,3
2013,Kerry,1,12,Wicklow,3,5,1
2013,Kerry,2,12,Laois,2,20,-8
2013,Kerry,2,10,Westmeath,0,13,3
2012,Kerry,1,7,Derry,0,15,-5
2012,Kerry,4,27,Down,1,21,15
2012,Kerry,2,22,Wicklow,1,12,13
2012,Kerry,1,13,Carlow,0,20,-4
2012,Kerry,3,8,Westmeath,0,19,-2
2011,Kerry,1,15,Laois,4,15,-9
2011,Kerry,1,9,Limerick,1,24,-15
2011,Kerry,1,18,Clare,6,23,-20
2011,Kerry,1,15,Westmeath,1,13,2
2011,Kerry,1,12,Carlow,2,17,-8
2011,Kerry,2,23,Down,3,16,4
2011,Kerry,0,12,Antrim,1,15,-6
2010,Kerry,2,18,Derry,1,15,6
2010,Kerry,2,22,Armagh,1,9,16
2010,Kerry,2,19,London,0,17,8
2010,Kerry,3,30,Meath,3,10,20
2010,Kerry,1,18,Mayo,2,14,1
2010,Kerry,3,13,Derry,1,9,10
2009,Kerry,4,5,Down,1,23,-9
2009,Kerry,2,11,Westmeath,0,18,-1
2009,Kerry,4,14,Antrim,3,19,-2
2009,Kerry,0,12,Laois,0,17,-5
2009,Kerry,0,8,Offaly,4,20,-24
2009,Kerry,2,5,Carlow,1,13,-5
2009,Kerry,1,10,Wexford,4,21,-20
2008,Kerry,3,4,Carlow,1,16,-6
2008,Kerry,4,9,Mayo,1,16,2
2008,Kerry,4,13,Kildare,0,11,14
2008,Kerry,2,11,Roscommon,0,9,8
2008,Kerry,4,7,Wicklow,1,11,5
2008,Kerry,1,11,Westmeath,0,17,-3
2007,Kerry,4,9,Laois,4,15,-6
2007,Kerry,3,9,Kildare,0,8,10
2007,Kerry,1,12,Westmeath,4,11,-8
2007,Kerry,1,8,Mayo,2,13,-8
2007,Kerry,3,10,London,1,13,3
2006,Kerry,1,6,Dublin,0,17,-8
2006,Kerry,1,17,Mayo,1,16,1
2006,Kerry,1,12,Kildare,0,9,6
2006,Kerry,2,9,Westmeath,2,9,0
2006,Kerry,0,15,Mayo,2,5,4
2006,Kerry,1,14,London,1,11,3
2005,Kerry,2,9,Derry,1,16,-4
2005,Kerry,2,7,Offaly,8,22,-33
2005,Kerry,6,10,Westmeath,4,18,-2
2005,Kerry,3,9,London,1,12,3
2005,Kerry,5,24,Wicklow,2,3,30
2005,Kerry,3,12,Meath,3,13,-1
2005,Kerry,6,19,Sligo,4,8,17
2005,Kerry,1,11,Carlow,2,11,-3
2004,Kerry,0,9,Westmeath,4,21,-24
2004,Kerry,3,17,Roscommon,1,11,12
