Year,Team,G,P,Opposition,G,P,Diff
2018,Mayo,1,15,Down,0,14,4
2018,Mayo,0,14,Down,3,19,-14
2018,Mayo,1,22,Wicklow,2,16,3
2018,Mayo,0,13,Derry,0,10,3
2018,Mayo,3,15,Armagh,2,13,5
2018,Mayo,2,16,Donegal,1,9,10
2017,Mayo,1,16,Roscommon,0,17,2
2017,Mayo,1,21,Roscommon,2,14,4
2017,Mayo,0,15,Meath,2,19,-10
2017,Mayo,0,12,Down,2,23,-17
2017,Mayo,1,17,Wicklow,2,17,-3
2017,Mayo,1,13,Derry,1,14,-1
2016,Mayo,1,10,Armagh,1,17,-7
2016,Mayo,0,13,Wicklow,2,13,-6
2016,Mayo,0,20,Down,0,16,4
2016,Mayo,0,19,Meath,2,9,4
2016,Mayo,1,14,Donegal,0,13,4
2015,Mayo,2,13,Donegal,1,11,5
2015,Mayo,0,10,Armagh,0,23,-13
2015,Mayo,1,14,Kildare,3,20,-12
2015,Mayo,0,15,Down,2,20,-11
2015,Mayo,0,9,Meath,3,8,-8
2015,Mayo,3,14,Donegal,1,12,8
2014,Mayo,1,19,Armagh,1,11,8
2014,Mayo,0,9,Wicklow,0,15,-6
2014,Mayo,0,13,Down,0,17,-4
2014,Mayo,0,7,Meath,0,12,-5
2014,Mayo,2,13,Fingal,3,9,1
2013,Mayo,1,14,Down,1,22,-8
2013,Mayo,1,11,London,3,13,-8
2013,Mayo,4,16,Armagh,3,12,7
2013,Mayo,1,11,Meath,1,19,-8
2013,Mayo,0,18,Roscommon,1,15,0
2012,Mayo,1,20,Kildare,0,19,4
2012,Mayo,1,10,London,3,18,-14
2012,Mayo,1,11,Armagh,0,21,-7
2012,Mayo,3,12,Meath,1,18,0
2012,Mayo,0,16,Roscommon,1,8,5
2011,Mayo,1,12,Roscommon,0,17,-2
2011,Mayo,0,17,Monaghan,2,15,-4
2011,Mayo,3,18,Sligo,1,10,14
2011,Mayo,2,18,Donegal,0,12,12
2011,Mayo,3,12,Louth,2,14,1
2011,Mayo,1,13,Fingal,0,9,7
2011,Mayo,0,17,Roscommon,1,5,9
2010,Mayo,0,15,London,3,14,-8
2010,Mayo,1,12,Meath,2,18,-9
2010,Mayo,1,7,Derry,3,12,-11
2010,Mayo,0,19,Armagh,0,17,2
2010,Mayo,2,14,Kerry,1,18,-1
2009,Mayo,2,7,Kildare,0,19,-6
2009,Mayo,0,12,Armagh,0,7,5
2009,Mayo,2,15,Wicklow,0,16,5
2009,Mayo,1,10,Meath,1,19,-9
2009,Mayo,0,6,Derry,0,9,-3
2008,Mayo,1,16,Kerry,4,9,-2
2008,Mayo,2,17,Roscommon,0,9,14
2008,Mayo,2,14,Westmeath,2,13,1
2008,Mayo,1,14,Kildare,1,15,-1
2008,Mayo,0,17,Wicklow,1,16,-2
2007,Mayo,0,11,Westmeath,2,19,-14
2007,Mayo,0,6,London,0,6,0
2007,Mayo,2,13,Kerry,1,8,8
2007,Mayo,0,11,Kildare,1,10,-2
2006,Mayo,1,16,Kerry,1,17,-1
2006,Mayo,1,14,Meath,2,6,5
2006,Mayo,5,10,Meath,2,19,0
2006,Mayo,0,11,Westmeath,1,9,-1
2006,Mayo,1,9,London,3,7,-4
2006,Mayo,2,5,Kerry,0,15,-4
2006,Mayo,2,14,Kildare,1,8,9
2005,Mayo,1,14,Donegal,2,10,1
2005,Mayo,5,21,Monaghan,0,6,30
2005,Mayo,2,17,Louth,1,11,9
2005,Mayo,3,15,Donegal,4,15,-3
2005,Mayo,2,11,Longford,2,7,4
2005,Mayo,0,10,Armagh,0,6,4
2005,Mayo,5,17,Leitrim,1,5,24
2004,Mayo,2,10,London,2,11,-1
2004,Mayo,0,12,Carlow,2,14,-8
2004,Mayo,1,8,Derry,1,12,-4
2004,Mayo,0,16,Wicklow,0,22,-6
2004,Mayo,1,10,Meath,1,13,-3
2004,Mayo,3,13,Carlow,0,7,15
2004,Mayo,1,12,Kerry,5,15,-15
2003,Mayo,2,11,Sligo,2,6,5
2003,Mayo,1,14,Monaghan,0,4,13
2003,Mayo,2,14,Tyrone,1,11,6
2003,Mayo,3,12,Louth,2,3,12
2003,Mayo,1,11,Armagh,1,10,1
2003,Mayo,3,10,Donegal,0,15,4
2003,Mayo,2,11,Sligo,3,10,-2
2003,Mayo,3,11,Leitrim,0,2,18
2002,Mayo,1,15,Monaghan,1,5,10
2002,Mayo,1,14,Monaghan,4,5,0
2002,Mayo,1,9,Cavan,1,5,4
2002,Mayo,5,16,Tyrone,1,5,23
